#W_0n	Temperature centrale	Temperature moyenne
6.77	1.20855e+07	7.80479e+06
6.78	1.20889e+07	7.80387e+06
6.79	1.20923e+07	7.8029e+06
6.8	1.20957e+07	7.80188e+06
6.81	1.2099e+07	7.80082e+06
6.82	1.21024e+07	7.7997e+06
6.83	1.21057e+07	7.79853e+06
6.84	1.2109e+07	7.79732e+06
6.85	1.21123e+07	7.79605e+06
6.86	1.21155e+07	7.79474e+06
6.87	1.21188e+07	7.79337e+06
6.88	1.2122e+07	7.79196e+06
6.89	1.21252e+07	7.79049e+06
6.9	1.21283e+07	7.78898e+06
6.91	1.21315e+07	7.78741e+06
6.92	1.21347e+07	7.7858e+06
6.93	1.21378e+07	7.78414e+06
6.94	1.21409e+07	7.78242e+06
6.95	1.2144e+07	7.78066e+06
6.96	1.2147e+07	7.77885e+06
6.97	1.21501e+07	7.77698e+06
6.98	1.21531e+07	7.77507e+06
6.99	1.21561e+07	7.77311e+06
7	1.21591e+07	7.7711e+06
7.01	1.21621e+07	7.76903e+06
7.02	1.21651e+07	7.76692e+06
7.03	1.2168e+07	7.76476e+06
7.04	1.2171e+07	7.76255e+06
7.05	1.21739e+07	7.76029e+06
7.06	1.21768e+07	7.75798e+06
7.07	1.21796e+07	7.75562e+06
7.08	1.21825e+07	7.75321e+06
7.09	1.21853e+07	7.75076e+06
7.1	1.21882e+07	7.74825e+06
7.11	1.2191e+07	7.74569e+06
7.12	1.21938e+07	7.74309e+06
